Scientific_name,Family,SIXLET,Symbol,Wetland,Pathway,SLA ,SLA2,SLA3,HT_matur,HT_matur2,Seed_weight,Seed_weight2,SSG,d13C,d15N,C,N,C.N,RGR,Salin_meas,Salin_meas2,rt_dpt_max,Anae_tol,Drgt_Tol,Fire_tol,Mois_use,Salin_tol,Shade_tol,Growth_R,Lifespan,Sex_repr,Veg_repr,Spread_rt,Resprout,Actual_bloom,Seed_period
Abronia elliptica,Nyctaginaceae,ABRELL,ABEL,UPL,C3,101.88,,,0.5,0.49,2.0512,2.051,0.209,-27.5939,5.7944,34.8444,2.33,15.2541,,,,,,,,,,,,,1,2,1,,Apr  -  Sept,
Acacia greggii,Fabaceae,ACAGRE,ACGR,FACU,C3 Likely,137.34,132.3784204,,4,4.75,179.33,179.33,0.673,-29.0899,6.1662,46.0327,2.8269,16.3552,,,,5.5,1,4,4,2,4,1,1,4,1,2,1,1,Apr - Jun,"Summer, Fall"
Achnatherum hymenoides,Poaceae,ACHHYM,ACHY,UPL,C3 Likely,65.96,,,0.45,0.45,2.739,2.739,0.375,-28.4149,2.3692,45.8998,1.9143,25.806,,4,,1.5,1,4,4,2,2,1,2,3,1,2,1,2,May - Aug,"Spring, Summer"
Acer negundo,Aceraceae,ACENEG,ACNE2,FACW,,232,379.3626707,,8,,36,,,,,,,,0.14,184.2,,4,3,3,1,,4,2,3,2,1,1,,,Mar  -  Jun,Oct - Mar
Agrostis exarata,Poaceae,AGREXA,AGEX,FACW,C3,358.01,,,0.6,0.45,0.1052,0.105,0.366,,,,,,,24,,,3,2,3,3,4,1,2,,1,1,2,2,Jul  -  Aug,"Summer, Summer"
Agosteris glauca,Asteraceae,AGOGLA,AGGL,FACU,C3,181.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis stolonifera,Poaceae,AGRSTO,AGST2,FACW,C3,286,,,0.7,,0.07,,,,,,,,0.28,52,,0.5,4,2,3,4,4,1,3,,1,1,4,2,Jun - Sep,"Summer, Summer"
Allionia incarnata,Nyctaginaceae,ALLINC,ALIN,UPL,C4,156.16,,,0.08,0.01,3.027,3.027,0.277,,,,,,,,,0.4,,,,,,,,,1,,,,Apr  -  Oct,
Alhagi maurorum,Fabaceae,ALHMAU,ALMA12,FAC,C3 Likely,72.64,101.2281538,,0.65,0.65,5.7,5.7,0.39,,,,,,,10,,15,,,,,4,,,,1,1,,,May - Jul,
Allenrolfea occidentalis,Amaranthaceae,ALLOCC,ALOC2,FACW,C3,46.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia acanthicarpa,Asteraceae,AMBACA,AMAC2,UPL,,128.3,217.2707076,,0.45,,4.229,,,,,,,,,,,,,,,,,,,,,,,,Jul - Oct,
Andropogon gerardii,Poaceae,ANDGER,ANGE,FACU,C4,325,125,,1.25,,2.32,,,,,,,,0.18,2.62,,3,,3,4,2,2,3,2,,1,1,2,2,Jul  -  Sep,"Summer, Fall"
Andropogon glomeratus,Poaceae,ANDGLO,ANGL2,FACW,C4,221.9,,,1.1,1.15,0.338,0.338,0.218,,,,,,,0.78,,,3,2,3,4,1,2,2,,1,2,1,2,Jul  -  Oct,
Apocynum cannabinum,Apocynaceae,APOCAN,APCA,FAC,C3 Likely,184.89,100,,0.6,0.75,0.9,0.9,0.174,-30.931,0.6744,39.2953,1.673,23.5226,,1.98,,4,3,,1,4,1,2,2,,1,1,1,2,May - Jul,"Summer, Fall"
Aristida arizonica,Poaceae,ARIARI,ARAR6,UPL,C4 Likely,149.87,90,,0.6,0.6,8.584,8.584,0.556,,,,,,0.1,,,,,,,,,,,,1,2,1,,May  -  Oct,
